300000 1 50000
item1          31518 90103
item238          42183 67087
item239          35855 6193
item240          11413 71209
item241          17043 89963
item242          15427 29374
item243          42260 77099
item244          15641 43045
item245          17429 20580
item246          41995 84562
item247          30204 23503
item248          47884 20640
item249          40232 77877
item250          1955 23919
item251          47688 59736
item252          17597 19572
item253          41772 27825
item254          31984 70783
item255          30673 55524
item256          16842 57679
item257          6791 25998
item258          12015 87949
item259          34619 98409
item260          11489 89298
item261          9851 26241
item262          30869 63767
item263          37793 81989
item264          34298 1432
item265          41166 17078
item266          47073 36100
item267          22196 36121
item268          21863 53762
item269          32781 42958
item270          5456 80697
item271          13498 6742
item272          18433 65277
item273          40053 82906
item274          3529 28246
item275          9633 8368
item276          49783 91757
item277          12588 40368
item278          33391 85400
item279          29321 88178
item280          44800 69180
item281          27494 65782
item282          19869 18760
item283          21078 5654
item284          6128 77807
item285          10845 36378
item286          47658 27898
item287          22212 18066
item288          28110 48496
item289          30494 19863
item290          42885 53180
item291          6381 15512
item292          9259 19784
item293          29935 21934
item294          48565 56534
item295          22595 13395
item296          42791 54375
item297          48607 97818
item298          35793 43178
item299          31344 34163
item300          14454 72058
item301          3666 38882
item302          34632 51199
item303          12448 80477
item304          29435 7089
item305          30146 24009
item306          45420 78367
item307          35354 62984
item308          25281 79999
item309          11859 11431
item310          7685 94837
item311          25331 37793
item312          19015 55043
item313          38565 93161
item314          28449 73774
item315          49031 32435
item316          40975 56986
item317          19386 26155
item318          8412 40690
item319          18023 42521
item320          9705 25113
item321          15813 7335
item322          40565 89696
item323          22697 46808
item324          24540 45960
item325          47342 98753
item326          13805 24516
item327          16596 85666
item328          13887 56897
item329          22476 68328
item330          20978 65083
item331          42811 19421
item332          6892 19241
item333          19925 49485
item334          8476 95952
item335          33093 30114
item336          40448 15452
item337          11000 42119
item338          37289 43475
item339          43073 8274
item340          22880 26321
item341          45230 80489
item342          11901 75937
item343          29564 91047
item344          43283 73774
item345          42121 47214
item346          49270 59579
item347          27241 30733
item348          41834 49820
item349          19831 16784
item350          21945 23264
item351          41071 16576
item352          21810 4557
item353          18317 87284
item354          32604 64197
item355          7647 30071
item356          3928 13826
item357          25431 28432
item358          23206 92926
item359          38147 23014
item360          26263 1910
item361          2460 78646
item362          39685 67158
item363          22794 12265
item364          5316 6154
item365          20775 2105
item366          6198 52602
item367          21650 64501
item368          8342 73895
item369          27827 84045
item370          3016 69512
item371          14081 96290
item372          43868 85698
item373          814 57744
item374          27250 2752
item375          11937 84933
item376          42836 20110
item377          45937 35363
item378          25776 35224
item379          6357 7875
item380          34933 24812
item381          15174 5467
item382          44029 83381
item383          2426 7616
item384          26292 56992
item385          25246 91245
item386          2847 97932
item387          11253 61289
item388          41433 5345
item389          42877 6352
item390          24061 75752
item391          14405 73419
item392          27694 57651
item393          5108 67489
item394          12126 430
item395          28286 88550
item396          12268 34967
item397          21227 89951
item398          4249 55132
item399          43990 42996
item400          24476 41943
item401          19704 20721
item402          32724 53511
item403          22783 61936
item404          46205 11327
item405          38099 98608
item406          34474 55446
item407          3444 36839
item408          373 54189
item409          17061 93793
item410          37803 31025
item411          9331 91006
item412          44933 66139
item413          21097 15212
item414          25200 52018
item415          10034 50363
item416          44274 70506
item417          41554 2106
item418          7513 58363
item419          5481 89949
item420          29357 71778
item421          7864 50933
item422          30611 34628
item423          11343 67909
item424          11173 61780
item425          48133 42322
item426          36911 71352
item427          31731 41405
item428          19513 87433
item429          20922 37999
item430          27140 16937
item431          11329 75631
item432          2997 47792
item433          16139 68166
item434          47615 47781
item435          23010 56383
item436          5900 51711
item437          39265 30982
item438          40644 7072
item439          47309 16348
item440          17128 28667
item441          34658 44182
item442          17964 66695
item443          46375 8997
item444          24866 20555
item445          45933 98865
item446          16723 99455
item447          17713 26165
item448          38961 12666
item449          31009 43948
item450          27140 21972
item451          21470 41823
item452          13174 15027
item453          46501 79286
item454          34764 3749
item455          32633 30485
item456          3510 66149
item457          10580 45958
item458          38156 59553
item459          27327 70519
item460          21898 99692
item461          48836 70762
item462          27740 44064
item463          40756 61030
item464          41177 8504
item465          25899 51337
item466          5015 71108
item467          6386 23365
item468          36638 59904
item469          38932 79296
item470          14201 81494
item471          31785 18929
item472          11992 71622
item473          37303 54792
item474          12464 2111
item475          15808 68635
item476          41122 5193
item477          49085 19421
item478          27392 81538
item479          47221 87823
item480          36504 12002
item481          9147 53297
item482          36373 77505
item483          8829 92419
item484          29101 99143
item485          3722 64278
item486          12265 65449
item487          16163 15576
item488          28158 98829
item489          31030 84065
item490          44231 45266
item491          28570 6749
item492          3273 13340
item493          5617 10263
item494          21591 70849
item495          44223 39134
item496          8230 49629
item497          37284 82772
item498          26493 65497
item499          39138 64670
item500          44266 53398
item501          45164 34102
item502          25047 8095
item503          17384 10785
item504          38456 66242
item505          28506 65140
item506          7587 97751
item507          32312 32741
item508          7104 76298
item509          7694 11729
item510          42798 28822
item511          14364 76073
item512          18930 97745
item513          865 21527
item514          2199 92574
item515          26574 80860
item516          12697 73984
item517          18391 52510
item518          40318 43043
item519          49405 55160
item520          16700 51197
item521          17270 59703
item522          4559 33526
item523          25072 38594
item524          47659 82291
item525          27978 80995
item526          13502 41086
item527          45976 45822
item528          31740 42097
item529          26652 53388
item530          42825 59941
item531          40170 53627
item532          6515 40062
item533          22935 44050
item534          33303 75910
item535          20194 44858
item536          47028 22146
item537          7506 63788
item538          24010 97540
item539          14482 74543
item540          37906 20332
item541          11752 10248
item542          15627 40269
item543          549 96979
item544          1913 28749
item545          49870 3300
item546          7438 43843
item547          25323 61510
item548          9313 29038
item549          10908 58569
item550          46852 23845
item551          22841 48776
item552          45588 82278
item553          48201 27770
item554          25272 90515
item555          49798 89364
item556          1260 86664
item557          44340 86071
item558          12178 65488
item559          41239 33567
item560          40175 25633
item561          15594 94422
item562          29012 95090
item563          27972 83892
item564          7786 56216
item565          28422 38036
item566          25689 81882
item567          2412 63365
item568          49499 56395
item569          28508 6557
item570          6593 62339
item571          46587 23718
item572          27058 54767
item573          11084 68436
item574          1423 94213
item575          12394 6341
item576          23995 60166
item577          26792 21780
item578          45280 15698
item579          24926 11393
item580          16202 49150
item581          24821 76549
item582          44643 94322
item583          32034 73459
item584          14128 73764
item585          23404 82102
item586          29105 84469
item587          25780 1345
item588          17132 92203
item589          22728 39133
item590          46702 65666
item591          30143 83739
item592          12625 67475
item593          22552 79812
item594          12533 98597
item595          11983 99641
item596          41773 34882
item597          38767 33884
item598          14377 27306
item599          28541 56114
item600          27645 48130
item601          27767 5891
item602          38389 5349
item603          39005 47711
item604          48522 51266
item605          33350 28823
item606          12189 45854
item607          36795 29404
item608          11064 45435
item609          8316 29635
item610          29476 13734
item611          47169 57539
item612          29669 67016
item613          21318 85889
item614          34282 25924
item615          744 90446
item616          907 61299
item617          8145 77856
item618          24556 79697
item619          7264 70637
item620          47501 1355
item621          36508 3300
item622          47665 94392
item623          321 74703
item624          44201 43472
item625          30104 76558
item626          31265 82844
item627          2810 27656
item628          36143 91291
item629          36883 48913
item630          33482 93027
item631          3248 10483
item632          13992 56768
item633          46127 6764
item634          37335 47422
item635          20298 34974
item636          29733 24897
item637          41123 79587
item638          12251 29307
item639          13827 82461
item640          42671 45266
item641          31585 56564
item642          39374 85253
item643          22700 72833
item644          480 35612
item645          34153 20576
item646          24999 52553
item647          39906 48656
item648          22089 57431
item649          16438 45547
item650          49279 19801
item651          8907 48037
item652          11331 75497
item653          5389 65401
item654          43952 11657
item655          7129 21063
item656          19689 44236
item657          16883 74044
item658          12450 77969
item659          10495 29332
item660          29070 43705
item661          7711 40688
item662          24614 29444
item663          30239 32541
item664          30825 13824
item665          39606 49093
item666          570 25524
item667          34339 59584
item668          20081 84259
item669          3608 7932
item670          8561 48638
item671          38101 45123
item672          16006 92431
item673          20661 12617
item674          32808 10926
item675          27427 61036
item676          41107 17874
item677          10425 37780
item678          37124 14074
item679          4252 2979
item680          24546 40582
item681          16165 86490
item682          35540 79390
item683          44244 52046
item684          43533 28335
item685          44659 22364
item686          33772 52362
item687          46137 30186
item688          45439 88315
item689          27547 86970
item690          3502 66784
item691          1024 85336
item692          13609 36110
item693          16118 70152
item694          3061 43273
item695          27230 29096
item696          14047 29541
item697          12036 80837
item698          3807 10855
item699          19097 91421
item700          41069 68139
item701          3201 93854
item702          36456 11988
item703          32183 54973
item704          22320 17462
item705          4214 3647
item706          21438 36859
item707          49555 84701
item708          21048 47554
item709          12814 14018
item710          26617 65856
item711          3968 90808
item712          37243 4945
item713          22231 18906
item714          13713 4985
item715          41581 22311
item716          25841 688
item717          22683 28498
item718          21342 70308
item719          33869 63272
item720          39522 16770
item721          5214 47476
item722          14270 65244
item723          4695 25789
item724          30725 42334
item725          10064 94937
item726          23642 45238
item727          21524 1874
item728          32495 91162
item729          42146 52482
item730          22770 18634
item731          23452 23608
item732          27688 48196
item733          14116 75095
item734          10065 59795
item735          41040 11905
item736          14601 91602
item737          44670 71829
item738          46935 54689
item739          42485 18137
item740          43757 35603
item741          9856 91959
item742          44432 90212
item743          5438 92641
item744          44674 2016
item745          27775 15679
item746          37833 88542
item747          35146 59580
item748          29118 1323
item749          43641 98575
item750          48017 43090
item751          9569 39311
item752          320 17914
item753          1323 24774
item754          31359 20174
item755          26337 21371
item756          20578 332
item757          38396 69686
item758          10202 89401
item759          37868 61629
item760          8091 42614
item761          6104 98063
item762          22464 19772
item763          46079 30112
item764          35470 28421
item765          45650 54953
item766          24563 92470
item767          21959 15098
item768          36687 10203
item769          6421 58552
item770          19623 65719
item771          28537 86888
item772          39274 98949
item773          38278 3533
item774          37137 43138
item775          15795 61178
item776          7949 53296
item777          21235 33760
item778          19407 91671
item779          4897 52202
item780          44735 39428
item781          44924 23060
item782          48671 73761
item783          43049 79459
item784          30175 5200
item785          47972 10820
item786          47087 32044
item787          26567 96809
item788          5444 89341
item789          37515 7298
item790          41149 88775
item791          47742 59522
item792          18662 30217
item793          38096 82222
item794          18497 98092
item795          29383 25261
item796          15376 90146
item797          34103 73681
item798          13488 94829
item799          42699 25039
item800          41451 47245
item801          45060 23105
item802          1569 98195
item803          18353 14255
item804          34265 24575
item805          3376 74422
item806          9987 33674
item807          46954 39602
item808          1521 39269
item809          30862 83998
item810          32245 56349
item811          7568 48148
item812          19982 97517
item813          39981 28862
item814          30139 32919
item815          19973 17442
item816          43894 68903
item817          1287 72012
item818          43497 89896
item819          18712 74545
item820          27700 11614
item821          42271 21562
item822          2861 86731
item823          23710 89650
item824          24992 40053
item825          16173 23540
item826          23263 99199
item827          47862 94399
item828          43735 33816
item829          25941 68865
item830          44082 41934
item831          41105 63299
item832          6618 27158
item833          48494 22276
item834          18113 65003
item835          44934 3087
item836          17524 9867
item837          4647 9978
item838          14238 2720
item839          30481 2257
item840          34784 64658
item841          41273 87487
item842          26577 71443
item843          29782 44314
item844          35726 42079
item845          5604 16391
item846          27081 28307
item847          25780 27234
item848          5689 96322
item849          10037 66938
item850          21831 72299
item851          30370 4921
item852          19453 6761
item853          32727 35845
item854          1319 9800
item855          19019 52491
item856          46541 75749
item857          6331 94149
item858          366 19769
item859          41942 95718
item860          844 71432
item861          6419 35246
item862          8116 86340
item863          6765 6630
item864          49238 16539
item865          3287 71354
item866          21267 77141
item867          19732 14363
item868          37132 15113
item869          19669 31784
item870          33118 54957
item871          27909 76722
item872          14901 79472
item873          35275 28694
item874          34399 36001
item875          32394 11113
item876          18944 23422
item877          38077 3617
item878          17136 78965
item879          4880 60413
item880          24377 22134
item881          36125 76245
item882          9428 14337
item883          20026 88020
item884          7012 1416
item885          28562 73163
item886          45806 22376
item887          18238 94632
item888          45396 43277
item889          44645 85395
item890          47491 44830
item891          30258 43477
item892          43993 46505
item893          36449 76178
item894          3936 90886
item895          27316 44423
item896          25009 28032
item897          5456 12152
item898          41146 74474
item899          16182 6681
item900          2666 51300
item901          2634 5880
item902          39856 5591
item903          22720 11436
item904          48690 17324
item905          30120 59248
item906          39471 98818
item907          46695 13840
item908          33675 33770
item909          569 309
item910          36882 47640
item911          14278 41766
item912          430 39671
item913          39701 52453
item914          2500 61127
item915          48717 46179
item916          37427 60778
item917          8720 32795
item918          23859 6473
item919          30157 19651
item920          38688 12042
item921          14870 80493
item922          31143 69134
item923          39773 57261
item924          46178 48319
item925          7318 51879
item926          167 53134
item927          16404 25373
item928          29448 481
item929          13528 16315
item930          36061 7139
item931          2902 57148
item932          22243 59550
item933          48522 62635
item934          36338 23854
item935          6752 29837
item936          42162 58783
item937          12413 83139
item938          36375 23064
item939          45869 5198
item940          30249 90405
item941          15973 89292
item942          33689 62375
item943          46067 54078
item944          11073 19219
item945          12943 97274
item946          23541 77130
item947          30151 98377
item948          49461 85703
item949          6330 12429
item950          28046 58738
item951          15539 16262
item952          22451 16379
item953          14059 36890
item954          45601 71632
item955          31365 82405
item956          2627 74203
item957          11052 73201
item958          11886 31694
item959          37095 46997
item960          7321 14378
item961          16234 75176
item962          27456 93241
item963          10728 79048
item964          21230 66850
item965          28341 51912
item966          14838 78414
item967          22683 81285
item968          25298 96646
item969          1482 7946
item970          34010 24511
item971          31092 83854
item972          9143 217
item973          27606 68615
item974          41786 86111
item975          14553 70934
item976          27023 97465
item977          28473 84472
item978          36990 67591
item979          22064 75072
item980          33625 37307
item981          21447 27089
item982          4834 48385
item983          2906 75657
item984          17531 79452
item985          20067 31979
item986          48169 20134
item987          36848 2059
item988          15795 37338
item989          2038 7563
item990          40413 97619
item991          43136 90724
item992          20307 29705
item993          5261 65872
item994          46292 52831
item995          45201 64555
item996          12798 7805
item997          43199 10381
item998          13175 2706
item999          13748 11914
item1000          48896 87713
item1001          24188 3079
item1002          10945 68237
item1003          46083 39530
item1004          23900 21019
item1005          11743 70001
item1006          30402 16458
item1007          15445 94076
item1008          44902 12494
item1009          33241 64124
item1010          19945 25046
item1011          9843 60520
item1012          43051 55878
item1013          9065 14581
item1014          34059 46279
item1015          49791 92707
item1016          36545 62190
item1017          275 8264
item1018          34634 52242
item1019          4250 25538
item1020          8810 40607
item1021          10492 9920
item1022          39378 97930
item1023          45455 17879
item1024          19726 89801
item1025          49850 4001
item1026          1495 28395
item1027          24318 54960
item1028          3324 38047
item1029          43044 69242
item1030          13151 72401
item1031          15706 93716
item1032          5652 50119
item1033          47983 98458
item1034          29015 38926
item1035          46712 79482
item1036          25304 68414
item1037          12221 63821
item1038          33544 71985
item1039          9283 49003
item1040          275 56046
item1041          10244 43173
item1042          31527 3324
item1043          34583 29427
item1044          49821 43167
item1045          15777 65998
item1046          34694 35426
item1047          42040 40982
item1048          43096 39740
item1049          35982 20411
item1050          40998 58190
item1051          18342 27333
item1052          20560 42086
item1053          37576 71003
item1054          28422 64678
item1055          13531 77805
item1056          47709 55418
item1057          9448 57178
item1058          9833 56028
item1059          7511 46196
item1060          2845 93189
item1061          30232 89473
item1062          5802 69413
item1063          30466 32593
item1064          13690 62557
item1065          36026 59456
item1066          18986 20858
item1067          28850 95418
item1068          43585 14312
item1069          25871 19861
item1070          17827 75305
item1071          7731 80012
item1072          39944 66198
item1073          38898 42251
item1074          3295 16612
item1075          16613 46963
item1076          26555 54352
item1077          40668 4220
item1078          48029 82381
item1079          24747 75284
item1080          19233 97849
item1081          38048 73955
item1082          22655 29712
item1083          6018 67534
item1084          38836 76334
item1085          5573 26476
item1086          5562 51533
item1087          31788 61551
item1088          23226 81636
item1089          48201 29765
item1090          30866 33372
item1091          6287 6499
item1092          43763 70162
item1093          48971 6748
item1094          6332 70944
item1095          34560 34638
item1096          24353 9047
item1097          43543 79109
item1098          40437 90046
item1099          34666 63040
item1100          36294 77082
item1101          20622 49488
item1102          15966 56060
item1103          20301 47139
item1104          15312 6567
item1105          7274 18539
item1106          48499 50656
item1107          17051 98954
item1108          45831 86781
item1109          11882 77223
item1110          49316 10543
item1111          11655 25831
item1112          754 67000
item1113          569 14667
item1114          2417 39078
item1115          23316 24390
item1116          2327 82691
item1117          25888 26991
item1118          27386 69793
item1119          4674 31811
item1120          36351 19850
item1121          4515 39235
item1122          33527 53586
item1123          13728 29375
item1124          48204 23357
item1125          11793 83371
item1126          29469 71176
item1127          45856 2600
item1128          45640 35841
item1129          12838 80021
item1130          27529 67277
item1131          20390 41016
item1132          4015 36777
item1133          34234 44595
item1134          14295 96805
item1135          40140 35228
item1136          27558 37168
item1137          1754 90524
item1138          29615 45121
item1139          31021 72738
item1140          11265 60364
item1141          48023 37916
item1142          28273 24117
item1143          49605 12368
item1144          28173 55985
item1145          10623 4453
item1146          6587 71269
item1147          47503 41666
item1148          20453 84249
item1149          2934 20396
item1150          25125 62161
item1151          9349 54780
item1152          14590 6267
item1153          25237 58578
item1154          44364 20727
item1155          5021 78207
item1156          39811 88276
item1157          28885 67251
item1158          41102 38246
item1159          9144 8622
item1160          6884 48752
item1161          6357 48885
item1162          5794 42308
item1163          46106 23090
item1164          34529 82972
item1165          8899 51835
item1166          22962 19308
item1167          14668 57331
item1168          44908 30811
item1169          46372 82691
item1170          37285 6123
item1171          32721 75776
item1172          27647 48623
item1173          7613 25867
item1174          40618 13488
item1175          44434 70416
item1176          42129 33482
item1177          24850 68405
item1178          2889 76067
item1179          24199 98407
item1180          45066 37979
item1181          32443 53866
item1182          24749 22058
item1183          40657 72423
item1184          30455 47187
item1185          38928 19623
item1186          27423 26035
item1187          33454 37889
item1188          47809 50740
item1189          8479 60526
item1190          23535 57757
item1191          35737 63764
item1192          48695 2136
item1193          41597 11432
item1194          10787 74356
item1195          33412 20359
item1196          22243 3039
item1197          17078 59004
item1198          46951 11261
item1199          21256 16340
item1200          44116 70903
item1201          2583 18200
item1202          47745 77011
item1203          2140 79315
item1204          4911 86038
item1205          10591 15073
item1206          31674 41988
item1207          15310 69179
item1208          24248 44923
item1209          42500 28391
item1210          49837 1560
item1211          25952 44718
item1212          20587 61136
item1213          8034 8675
item1214          32728 4588
item1215          37735 66392
item1216          7685 44699
item1217          9741 28492
item1218          15993 20999
item1219          14455 76133
item1220          28902 97475
item1221          42066 15728
item1222          13815 57692
item1223          49160 33059
item1224          941 74388
item1225          1278 99034
item1226          35193 84228
item1227          45115 4459
item1228          8642 41563
item1229          15803 26959
item1230          25969 26622
item1231          30964 91681
item1232          17621 61391
item1233          4883 26383
item1234          5487 93221
item1235          10015 43461
item1236          14969 72151
item1237          21279 91896
item1238          44806 93582
item1239          27538 34000
item1240          49450 529
item1241          35705 87289
item1242          41575 24409
item1243          36069 83093
item1244          18999 74936
item1245          3030 65126
item1246          6641 83046
item1247          31659 8472
item1248          18715 29394
item1249          20785 21480
item1250          32392 30832
item1251          11478 37421
item1252          34633 63497
item1253          2096 72344
item1254          29096 99359
item1255          5064 67829
item1256          32783 83876
item1257          17736 81339
item1258          34174 97113
item1259          49792 83393
item1260          32014 61672
item1261          12409 28565
item1262          5981 34153
item1263          20921 12531
item1264          18740 61759
item1265          14289 47012
item1266          30161 85120
item1267          11055 59503
item1268          49392 41712
item1269          12980 81010
item1270          14716 32694
item1271          36807 47564
item1272          49710 54985
item1273          45430 10019
item1274          30135 30789
item1275          14094 61893
item1276          6484 47657
item1277          4129 79639
item1278          37229 17572
item1279          25770 56568
item1280          24406 38625
item1281          11518 97214
item1282          33007 95471
item1283          33347 77365
item1284          49780 99405
item1285          46889 95292
item1286          21470 54864
item1287          29997 57948
item1288          43963 17001
item1289          23001 75175
item1290          38970 82161
item1291          44585 92160
item1292          11011 67260
item1293          5535 28051
item1294          1986 60072
item1295          18365 22679
item1296          38517 8549
item1297          3459 31331
item1298          49758 21282
item1299          15598 91687
item1300          25736 70120
item1301          7837 1508
item1302          2995 68587
item1303          32081 9553
item1304          20071 73652
item1305          42049 65464
item1306          23976 88974
item1307          49331 29724
item1308          38523 80633
item1309          16123 92006
item1310          29108 74454
item1311          30020 47467
item1312          8215 6905
item1313          10593 55835
item1314          17975 30492
item1315          3649 4094
item1316          43218 81568
item1317          5037 74295
item1318          36822 30130
item1319          31225 11593
item1320          1542 6929
item1321          27306 40003
item1322          45753 37588
item1323          26659 95518
item1324          1276 91262
item1325          4563 57145
item1326          9450 14769
item1327          9315 75573
item1328          11025 54142
item1329          7473 73273
item1330          24008 2426
item1331          42931 77231
item1332          2120 37116
item1333          37733 78813
item1334          11108 78000
item1335          22949 80160
item1336          22300 34066
item1337          14388 65185
item1338          20355 87966
item1339          33232 55857
item1340          13231 24411
item1341          35459 65280
item1342          19521 26864
item1343          10987 71004
item1344          9011 81356
item1345          47166 73466
item1346          29935 170
item1347          24562 54934
item1348          13222 47352
item1349          17010 4665
item1350          36162 25667
item1351          19009 70306
item1352          47672 3976
item1353          25042 44506
item1354          45723 98180
item1355          35698 46549
item1356          42296 60196
item1357          40317 57247
item1358          44194 52156
item1359          16120 72238
item1360          307 10111
item1361          5248 42563
item1362          23847 98229
item1363          26457 25776
item1364          20257 74536
item1365          34661 99462
item1366          29246 32338
item1367          42617 23044
item1368          4205 34460
item1369          10610 47657
item1370          6553 62635
item1371          32606 37176
item1372          29749 7057
item1373          32067 30218
item1374          48946 31842
item1375          33130 13
item1376          35562 59556
item1377          242 78589
item1378          33404 36087
item1379          6363 80108
item1380          14413 27127
item1381          6263 28997
item1382          14584 91659
item1383          6314 31075
item1384          19850 6900
item1385          30178 63367
item1386          3860 67848
item1387          29069 26618
item1388          13527 65731
item1389          27597 8118
item1390          43723 69446
item1391          39631 8877
item1392          48778 28315
item1393          33623 9479
item1394          2135 9201
item1395          36703 51472
item1396          6735 62072
item1397          11310 80692
item1398          6219 57495
item1399          18761 55300
item1400          43185 68324
item1401          20353 64421
item1402          39551 64417
item1403          42318 86519
item1404          4891 2876
item1405          39421 77739
item1406          13357 78463
item1407          48701 91436
item1408          42443 83153
item1409          3069 84201
item1410          6619 78124
item1411          44550 77104
item1412          6774 47425
item1413          10742 65390
item1414          9296 5444
item1415          14597 19070
item1416          18789 65348
item1417          12518 47658
item1418          16128 54069
item1419          20610 82110
item1420          45562 51060
item1421          26380 17486
item1422          3405 8811
item1423          9640 31487
item1424          24271 22426
item1425          28873 99777
item1426          46012 99700
item1427          23192 60857
item1428          9141 42962
item1429          17936 26557
item1430          41397 18738
item1431          43016 68589
item1432          49054 75238
item1433          28916 11763
item1434          33963 54390
item1435          45201 61458
item1436          15031 92787
item1437          2862 81544
item1438          21529 27643
item1439          45906 89338
item1440          28024 87290
item1441          49395 26995
item1442          15032 30257
item1443          39245 32054
item1444          19295 10391
item1445          40685 27323
item1446          8483 40625
item1447          40012 31549
item1448          21761 84212
item1449          32614 63926
item1450          34525 73496
item1451          12694 81094
item1452          35340 45272
item1453          47460 92064
item1454          4908 14840
item1455          27563 71894
item1456          22142 81096
item1457          30691 72018
item1458          10919 22617
item1459          44353 86267
item1460          4246 56936
item1461          23461 85938
item1462          14709 2346
item1463          28530 16302
item1464          17689 62873
item1465          32894 74545
item1466          44395 26532
item1467          37641 20567
item1468          9042 976
item1469          3161 97021
item1470          20190 87238
item1471          11705 93940
item1472          26875 67283
item1473          34566 36705
item1474          5840 38740
item1475          2629 6664
item1476          15482 39250
item1477          43640 73689
item1478          19429 56130
item1479          22494 99018
item1480          10580 83755
item1481          8330 76164
item1482          7787 28717
item1483          45127 12864
item1484          11020 2286
item1485          3544 89962
item1486          18878 63156
item1487          36574 49803
item1488          15003 26675
item1489          27411 25052
item1490          61 45941
item1491          2490 57020
item1492          47427 28966
item1493          48429 50979
item1494          38687 4281
item1495          19352 87248
item1496          30146 15507
item1497          31072 206
item1498          3891 37990
item1499          40002 4758
item1500          3895 7827
item1501          21340 51802
