150000 1 25000
item1          7672 6743
item571          1057 24621
item572          14943 20273
item573          19655 24815
item574          20653 44560
item575          16724 10242
item576          1371 29197
item577          16721 38552
item578          8394 27592
item579          9952 28549
item580          24597 742
item581          12917 42326
item582          17786 14190
item583          15696 34894
item584          8961 40499
item585          14415 518
item586          21395 39169
item587          16559 1715
item588          10998 7972
item589          21958 1408
item590          4839 24272
item591          21901 40744
item592          11135 21246
item593          11566 35848
item594          21828 10517
item595          3810 4022
item596          21959 38403
item597          7028 43562
item598          16650 43806
item599          14700 27251
item600          13632 14494
item601          8585 25628
item602          6256 20803
item603          23049 6076
item604          9674 11274
item605          14204 46224
item606          5848 15197
item607          22220 34733
item608          15081 9723
item609          10177 37874
item610          18964 25199
item611          2140 18977
item612          13274 18259
item613          23621 39561
item614          21564 40432
item615          3181 40890
item616          9314 30450
item617          24226 44834
item618          3597 44707
item619          11793 27387
item620          2810 14670
item621          15505 22595
item622          16436 1568
item623          1058 44254
item624          19505 44722
item625          13417 44592
item626          17631 48119
item627          9809 38663
item628          1044 229
item629          20400 13878
item630          17599 1605
item631          5849 27592
item632          1562 20477
item633          11992 19579
item634          427 3059
item635          3486 43539
item636          10428 32052
item637          14979 36787
item638          16092 30728
item639          7810 3529
item640          10037 49474
item641          14102 19530
item642          14817 38657
item643          11548 41050
item644          10529 40740
item645          5917 28373
item646          11171 7306
item647          2301 14568
item648          4227 14488
item649          13952 49825
item650          9237 20745
item651          9634 281
item652          3441 36321
item653          15296 32930
item654          10900 22506
item655          9421 28663
item656          10634 540
item657          21335 27801
item658          10897 37977
item659          6865 37724
item660          494 10639
item661          13430 44329
item662          4866 31048
item663          7804 2004
item664          7432 25406
item665          4397 2301
item666          7739 26887
item667          12362 26961
item668          8399 43632
item669          23258 8762
item670          18851 19625
item671          1880 4887
item672          18752 5646
item673          4208 18768
item674          17652 30600
item675          4811 15716
item676          7032 19597
item677          1050 46050
item678          13318 20442
item679          8649 10618
item680          3194 44482
item681          7457 41610
item682          16965 36679
item683          9261 2696
item684          9510 34780
item685          18678 27288
item686          449 12670
item687          7157 48033
item688          11049 40305
item689          16545 46459
item690          15622 30948
item691          7582 38008
item692          17443 45497
item693          24799 22821
item694          13541 4182
item695          12214 30883
item696          17577 46215
item697          4510 33964
item698          19808 27058
item699          7107 48020
item700          20844 37617
item701          3951 13075
item702          22895 29493
item703          16004 16344
item704          13395 25679
item705          12497 20819
item706          2941 45357
item707          7180 35185
item708          24945 10716
item709          21627 22535
item710          24459 18517
item711          8343 11637
item712          490 14002
item713          4294 33589
item714          16956 19498
item715          8835 27572
item716          3577 7224
item717          23257 34849
item718          6435 33196
item719          13945 29501
item720          16432 35418
item721          5350 16910
item722          7612 16477
item723          14502 41948
item724          16649 13390
item725          3473 47702
item726          13208 16531
item727          5992 7780
item728          11110 11584
item729          6016 5542
item730          21984 36424
item731          1620 28256
item732          5653 12893
item733          10235 28116
item734          22872 23934
item735          16281 18808
item736          17289 43764
item737          6283 38351
item738          13059 26136
item739          16546 35385
item740          24100 41773
item741          9043 6113
item742          2416 4333
item743          10688 46137
item744          19621 18824
item745          24206 20603
item746          3788 8369
item747          21862 14442
item748          10589 3681
item749          7509 48711
item750          4442 49289
item751          384 47381
item752          19988 21805
item753          23664 41913
item754          23073 24196
item755          4193 30889
item756          8996 10574
item757          2540 24085
item758          1058 5820
item759          7702 28027
item760          404 13282
item761          21630 386
item762          9507 31336
item763          10397 39446
item764          22808 40371
item765          23345 25957
item766          2617 12087
item767          203 34894
item768          17460 22806
item769          19526 9949
item770          3190 35062
item771          19450 3250
item772          5067 597
item773          15990 20766
item774          17698 44773
item775          5586 16992
item776          20694 22511
item777          14847 34523
item778          6265 7897
item779          13186 20239
item780          6654 6002
item781          1527 23351
item782          8555 36769
item783          8970 42738
item784          13654 25297
item785          24331 20165
item786          22346 41192
item787          4681 49390
item788          22381 3353
item789          9046 12021
item790          24558 2331
item791          4978 21816
item792          20711 35968
item793          22755 34257
item794          3739 49121
item795          15498 38644
item796          88 49804
item797          11983 35054
item798          11294 16206
item799          10457 32918
item800          4508 1427
item801          2525 23855
item802          11033 3862
item803          3985 25262
item804          8767 42379
item805          9564 31769
item806          12607 44980
item807          5970 9336
item808          4637 3629
item809          6060 45318
item810          10582 26214
item811          19670 12155
item812          18915 2300
item813          13310 44127
item814          5727 34078
item815          21634 21391
item816          20799 36671
item817          7773 34256
item818          1472 47117
item819          19771 31805
item820          20448 19729
item821          6271 32916
item822          8389 4533
item823          14788 42317
item824          2219 48431
item825          18312 27006
item826          24899 17005
item827          7299 8254
item828          21599 4625
item829          1427 19765
item830          10131 47487
item831          24780 31720
item832          377 35425
item833          5336 43567
item834          4785 29999
item835          12832 4852
item836          21615 28552
item837          13552 19533
item838          17776 5214
item839          17241 19520
item840          23930 34616
item841          14226 46951
item842          2166 38336
item843          20973 4942
item844          16850 12208
item845          3837 28450
item846          11676 41935
item847          21900 46378
item848          7208 47129
item849          16831 17102
item850          9296 27747
item851          18501 13698
item852          13695 15282
item853          24226 4414
item854          18298 12943
item855          7881 5656
item856          11747 40292
item857          20517 5894
item858          1732 26494
item859          5780 1167
item860          10955 25459
item861          23170 42545
item862          24687 40149
item863          20883 11569
item864          5761 28286
item865          382 41679
item866          14866 48065
item867          21379 17833
item868          23057 33484
item869          12654 2107
item870          13353 8327
item871          12230 42305
item872          3028 35908
item873          10813 31332
item874          17207 37557
item875          20004 17073
item876          10072 41624
item877          23124 18180
item878          20482 32245
item879          21232 16279
item880          4005 26026
item881          15349 36191
item882          11118 16994
item883          22432 4711
item884          2080 7917
item885          3062 33506
item886          47 28641
item887          1571 12542
item888          6376 49942
item889          6246 37381
item890          9450 11781
item891          10105 44140
item892          13232 11265
item893          1503 37579
item894          6817 7564
item895          6522 8884
item896          3990 29537
item897          3853 24965
item898          11237 45612
item899          12398 19705
item900          5938 20060
item901          21859 19121
item902          15262 19720
item903          23551 30117
item904          11094 24504
item905          14707 10922
item906          9341 18495
item907          7124 14948
item908          24398 44677
item909          5980 14295
item910          6157 14244
item911          9180 761
item912          14307 461
item913          6883 16916
item914          15569 23767
item915          15785 10087
item916          17709 27248
item917          20636 44510
item918          3053 17445
item919          18959 24944
item920          15367 24144
item921          8936 144
item922          16431 31037
item923          2436 19629
item924          23823 16547
item925          19329 22466
item926          14006 9843
item927          16956 40440
item928          23661 14754
item929          13537 28320
item930          342 27635
item931          2074 11195
item932          3358 26684
item933          2685 27187
item934          22118 25332
item935          9750 37146
item936          22651 28187
item937          4178 49586
item938          18648 25802
item939          13522 12148
item940          14877 1356
item941          23280 2798
item942          12458 30115
item943          14502 5604
item944          15484 26106
item945          23057 13532
item946          16629 34088
item947          8851 16831
item948          16318 36042
item949          9301 29092
item950          12757 18522
item951          4649 37207
item952          23124 23073
item953          6068 43966
item954          13347 28325
item955          7285 2669
item956          21521 32602
item957          5874 31952
item958          21508 36051
item959          17944 4990
item960          13208 34425
item961          11793 43560
item962          3547 12715
item963          15806 41845
item964          7922 35953
item965          22773 14142
item966          18954 34275
item967          1021 1491
item968          17403 14403
item969          7137 21905
item970          14455 39894
item971          4743 47144
item972          18943 3387
item973          12505 32472
item974          143 4637
item975          6427 41755
item976          3783 13091
item977          2058 2173
item978          22583 31042
item979          11105 25341
item980          21077 49299
item981          1896 34338
item982          8086 4858
item983          11038 26642
item984          2228 46416
item985          15395 32455
item986          13223 37775
item987          1905 9206
item988          4896 40817
item989          9070 19514
item990          17870 2104
item991          12976 6957
item992          2398 33857
item993          16362 29855
item994          11618 10803
item995          19529 29268
item996          24723 21765
item997          1466 31148
item998          23014 20536
item999          135 16372
item1000          5145 3968
item1001          17433 13711
item1002          21866 32572
item1003          2491 45856
item1004          11903 28161
item1005          16990 24301
item1006          19306 37089
item1007          21004 3657
item1008          10851 23933
item1009          22652 32115
item1010          7820 30402
item1011          20743 28661
item1012          18404 9406
item1013          16953 35670
item1014          4552 48774
item1015          15156 44333
item1016          14825 25118
item1017          858 18425
item1018          4451 19411
item1019          13615 26080
item1020          6952 44430
item1021          1695 24599
item1022          21381 16486
item1023          14686 31979
item1024          11677 1524
item1025          14912 9023
item1026          14283 35851
item1027          15223 26030
item1028          5813 7883
item1029          20516 20241
item1030          2713 32516
item1031          24788 8566
item1032          8120 6848
item1033          23083 18107
item1034          10238 9651
item1035          4280 42449
item1036          22119 34709
item1037          280 15715
item1038          24107 28009
item1039          19901 4786
item1040          5905 15925
item1041          17467 8701
item1042          9253 13877
item1043          13016 47817
item1044          9298 45109
item1045          13528 25433
item1046          18286 45694
item1047          6089 5629
item1048          5450 10770
item1049          377 33928
item1050          24715 9619
item1051          6321 39650
item1052          2179 11723
item1053          4881 34303
item1054          9422 18038
item1055          22772 40286
item1056          14798 9691
item1057          20172 12666
item1058          5828 17107
item1059          21112 5404
item1060          7505 48554
item1061          16298 39518
item1062          19092 37417
item1063          17345 43118
item1064          1149 22575
item1065          9588 13115
item1066          6735 39468
item1067          15018 45601
item1068          16783 21134
item1069          12462 30109
item1070          8083 43993
item1071          14666 45883
item1072          16563 28962
item1073          5883 7897
item1074          16101 28032
item1075          9096 976
item1076          24866 16368
item1077          3466 5498
item1078          1614 39766
item1079          14786 28261
item1080          5772 4066
item1081          13346 41730
item1082          6485 74
item1083          23510 22688
item1084          9191 44482
item1085          9475 46910
item1086          17446 11380
item1087          24730 32146
item1088          7937 32459
item1089          8809 34368
item1090          13537 48443
item1091          19255 14951
item1092          9630 30169
item1093          10233 24198
item1094          18662 31293
item1095          11066 35290
item1096          9213 12723
item1097          22943 33772
item1098          17329 49234
item1099          6872 29003
item1100          9562 43475
item1101          5640 4604
item1102          11347 21559
item1103          10300 47817
item1104          18047 8231
item1105          10673 19313
item1106          20633 1048
item1107          15532 14860
item1108          21091 47236
item1109          10564 42347
item1110          6913 14122
item1111          22160 31914
item1112          18598 34083
item1113          8713 35436
item1114          8470 8917
item1115          23647 39096
item1116          4347 37693
item1117          1632 37278
item1118          17204 34996
item1119          16240 44948
item1120          15749 29480
item1121          8130 43333
item1122          18516 16149
item1123          14117 48979
item1124          4411 35380
item1125          3080 38910
item1126          20532 23338
item1127          8275 4754
item1128          1917 41221
item1129          2278 30099
item1130          11034 23224
item1131          5186 4520
item1132          22495 251
item1133          10048 5847
item1134          18883 48441
item1135          1155 2281
item1136          6092 38338
item1137          21193 3864
item1138          5872 14525
item1139          6095 34831
item1140          15981 20205
item1141          11217 6996
item1142          11465 29799
item1143          15022 26862
item1144          23750 20247
item1145          12625 24475
item1146          17678 32573
item1147          13400 11098
item1148          14611 37892
item1149          1638 40063
item1150          8193 30164
item1151          9435 14941
item1152          22502 14514
item1153          22935 26471
item1154          18908 34959
item1155          9481 32431
item1156          9137 4861
item1157          9689 21243
item1158          24474 39026
item1159          19512 11446
item1160          22630 10129
item1161          8092 49289
item1162          22473 6027
item1163          24466 25991
item1164          1176 41221
item1165          23396 14681
item1166          7969 40350
item1167          23323 28574
item1168          19959 49495
item1169          7935 40496
item1170          9314 17559
item1171          12356 35797
item1172          4059 19185
item1173          20648 29557
item1174          10638 22910
item1175          18055 20436
item1176          7738 38311
item1177          18597 24121
item1178          10204 36624
item1179          3702 7468
item1180          19158 6573
item1181          1534 22017
item1182          210 31933
item1183          7611 34420
item1184          12917 12033
item1185          14700 32348
item1186          10487 35948
item1187          15899 46020
item1188          20273 21126
item1189          12110 11140
item1190          2387 8110
item1191          18780 29470
item1192          6840 6858
item1193          9223 13368
item1194          13193 37452
item1195          8627 35291
item1196          19113 21624
item1197          9907 28649
item1198          22589 13184
item1199          4863 37602
item1200          22887 31956
item1201          6387 26941
item1202          14959 48035
item1203          6659 48781
item1204          20592 4159
item1205          4230 32266
item1206          11162 10056
item1207          4072 34946
item1208          23962 5207
item1209          9941 30377
item1210          13056 4940
item1211          16859 10207
item1212          4253 15238
item1213          14667 28515
item1214          17779 21553
item1215          22316 20370
item1216          7620 9285
item1217          16397 32970
item1218          999 42460
item1219          3729 37238
item1220          21804 593
item1221          19180 27950
item1222          21570 10857
item1223          3366 43048
item1224          21061 36235
item1225          8998 8296
item1226          11258 48872
item1227          21300 10237
item1228          450 11449
item1229          2639 36554
item1230          8839 42266
item1231          11611 11547
item1232          4425 18287
item1233          14121 42936
item1234          9507 6806
item1235          22016 45752
item1236          21304 23857
item1237          14842 4760
item1238          5888 45597
item1239          7564 34870
item1240          3962 18941
item1241          12387 43500
item1242          21522 26844
item1243          7839 3283
item1244          24628 34894
item1245          14439 22343
item1246          11074 959
item1247          8790 17944
item1248          8309 49596
item1249          7356 31023
item1250          20087 41499
item1251          14904 5590
item1252          24118 23690
item1253          8896 42923
item1254          6874 2748
item1255          11113 36910
item1256          1862 48033
item1257          3833 1524
item1258          12783 8220
item1259          17654 36739
item1260          11336 19364
item1261          6848 34270
item1262          17709 38272
item1263          12635 18373
item1264          3351 31312
item1265          17122 1496
item1266          21010 35885
item1267          8964 18876
item1268          14079 6902
item1269          22619 33389
item1270          5037 46765
item1271          14291 17661
item1272          19693 9943
item1273          18607 29582
item1274          13080 32942
item1275          2943 29206
item1276          7244 8211
item1277          6773 40324
item1278          17875 35096
item1279          526 26010
item1280          9336 47737
item1281          4210 48770
item1282          18404 2763
item1283          755 33292
item1284          21230 4035
item1285          986 16357
item1286          12851 24010
item1287          23672 25759
item1288          4555 32334
item1289          13714 41191
item1290          20409 3040
item1291          3134 43416
item1292          1079 18488
item1293          17540 35999
item1294          17567 16566
item1295          13072 37792
item1296          22986 16897
item1297          8508 38212
item1298          3445 42119
item1299          20683 42450
item1300          10298 21803
item1301          8879 22792
item1302          8885 28040
item1303          20493 24439
item1304          12250 27252
item1305          2855 33977
item1306          7222 42392
item1307          9079 47462
item1308          8340 49119
item1309          20946 42218
item1310          20163 42901
item1311          9933 10733
item1312          8093 23118
item1313          7381 8187
item1314          6860 36727
item1315          9897 7211
item1316          5785 35034
item1317          14503 36592
item1318          12020 31225
item1319          13096 31358
item1320          7442 13552
item1321          15961 40186
item1322          20958 45588
item1323          11843 4043
item1324          96 626
item1325          15297 23583
item1326          1268 19414
item1327          2101 29483
item1328          24794 21168
item1329          4124 42840
item1330          24237 19505
item1331          15526 42063
item1332          13121 44185
item1333          3400 42727
item1334          1989 42754
item1335          15916 40905
item1336          8473 43572
item1337          13909 32779
item1338          46 38634
item1339          9008 21395
item1340          7417 34665
item1341          11385 33842
item1342          21305 46535
item1343          879 27414
item1344          10019 48657
item1345          853 29953
item1346          23208 20587
item1347          24926 9664
item1348          7857 2158
item1349          5623 17262
item1350          15901 29751
item1351          21214 28490
item1352          9388 5902
item1353          543 15238
item1354          22782 48977
item1355          3275 15261
item1356          20828 12140
item1357          21812 24266
item1358          21555 12437
item1359          11912 28742
item1360          14359 27011
item1361          18790 5501
item1362          6368 48934
item1363          18262 46420
item1364          9048 26890
item1365          6720 2331
item1366          10641 33973
item1367          13694 30919
item1368          9438 1564
item1369          1746 6349
item1370          9818 29954
item1371          8588 39936
item1372          24064 14709
item1373          21410 49463
item1374          6972 2259
item1375          20923 17577
item1376          1015 20690
item1377          22526 47096
item1378          9277 46241
item1379          20990 457
item1380          1134 33248
item1381          15462 46389
item1382          8950 12230
item1383          10555 32151
item1384          10180 20723
item1385          10411 18286
item1386          12747 18977
item1387          8157 32538
item1388          2332 31075
item1389          14143 23298
item1390          2502 26520
item1391          16801 28006
item1392          3416 41395
item1393          16679 24349
item1394          5161 13615
item1395          10581 13408
item1396          21419 24101
item1397          15390 36844
item1398          3676 9601
item1399          9496 11329
item1400          11397 38588
item1401          3904 27495
item1402          824 32119
item1403          19048 47583
item1404          21723 17077
item1405          8916 38232
item1406          23443 36364
item1407          3187 11110
item1408          20872 4116
item1409          7424 43882
item1410          20973 39324
item1411          12250 47586
item1412          9186 3885
item1413          12200 20333
item1414          9821 18130
item1415          19843 33404
item1416          3784 28848
item1417          8838 4867
item1418          16502 10463
item1419          7714 44166
item1420          2703 6744
item1421          8612 28395
item1422          7436 14360
item1423          19215 49609
item1424          16501 28159
item1425          8230 5493
item1426          2469 19532
item1427          7566 31411
item1428          20412 4549
item1429          18154 29192
item1430          18348 33158
item1431          10291 31839
item1432          20388 43103
item1433          6933 21702
item1434          19155 22039
item1435          19456 19843
item1436          630 14168
item1437          8989 42861
item1438          3759 42554
item1439          5157 43049
item1440          11815 2819
item1441          14616 35951
item1442          5688 40697
item1443          14778 49174
item1444          1876 24401
item1445          4125 39183
item1446          9629 4728
item1447          13799 40283
item1448          2126 37625
item1449          16385 25579
item1450          12995 38916
item1451          11082 34328
item1452          7604 3341
item1453          18495 42454
item1454          23302 32273
item1455          2220 26801
item1456          20460 2241
item1457          4853 33953
item1458          18242 27358
item1459          4765 42688
item1460          8111 9136
item1461          24567 46195
item1462          6811 2597
item1463          8715 33343
item1464          18847 16113
item1465          8881 45207
item1466          2297 33700
item1467          16071 36297
item1468          9107 21198
item1469          10710 9968
item1470          23096 48176
item1471          12636 48816
item1472          15804 24518
item1473          10647 42711
item1474          23029 8983
item1475          5048 27466
item1476          502 5347
item1477          7876 44411
item1478          3878 7158
item1479          23408 13132
item1480          24024 43182
item1481          15258 44983
item1482          20860 46969
item1483          5250 23595
item1484          15160 2831
item1485          17243 44508
item1486          2467 27056
item1487          3521 13199
item1488          16825 45967
item1489          8318 36888
item1490          2634 49011
item1491          23094 17585
item1492          13273 33835
item1493          2360 20250
item1494          7673 20355
item1495          16164 41094
item1496          12752 17454
item1497          20970 5333
item1498          18282 45333
item1499          8181 19347
item1500          3984 26108
item1501          18652 11854
item1502          3295 28096
item1503          21018 31511
item1504          18748 41075
