45000 1 10000
item1          4736 4397
item373          3634 10324
item374          7105 13705
item375          5460 10897
item376          3691 5005
item377          87 6142
item378          800 3224
item379          57 3398
item380          3895 11529
item381          189 13525
item382          2695 6050
item383          4018 1169
item384          769 8448
item385          3430 295
item386          3036 14309
item387          2819 1485
item388          7485 2192
item389          1564 2743
item390          6513 10162
item391          4142 4648
item392          3407 8252
item393          5517 2226
item394          3793 10358
item395          2643 14995
item396          2789 2804
item397          6247 2233
item398          1846 2486
item399          5515 3765
item400          4787 13252
item401          4737 8197
item402          4287 6578
item403          880 4098
item404          1236 14507
item405          2783 14333
item406          7226 14022
item407          4030 2159
item408          6872 12579
item409          3906 12900
item410          645 6668
item411          219 8483
item412          2289 4645
item413          5396 5690
item414          2484 331
item415          6530 14223
item416          3767 5491
item417          1631 6636
item418          319 991
item419          2352 6946
item420          3177 12837
item421          389 12712
item422          3233 13401
item423          4668 10073
item424          2719 3694
item425          6328 4115
item426          4892 12966
item427          7024 2386
item428          6746 6123
item429          721 3926
item430          4890 1001
item431          3521 6914
item432          2370 2721
item433          1784 3629
item434          1338 10087
item435          4617 11048
item436          6266 7809
item437          5802 12286
item438          5133 11188
item439          2713 11461
item440          2768 11911
item441          7417 13975
item442          7198 13207
item443          5867 7336
item444          2172 444
item445          1376 881
item446          3593 6055
item447          5305 5659
item448          1194 12795
item449          2045 5270
item450          4500 7985
item451          3185 4588
item452          7085 9497
item453          4052 10264
item454          4991 12221
item455          4987 527
item456          6124 12132
item457          4268 2342
item458          7413 9657
item459          5011 12933
item460          1551 10745
item461          3051 5572
item462          7111 14557
item463          1739 5113
item464          1046 11887
item465          3313 8756
item466          6504 7538
item467          2308 4837
item468          6959 4008
item469          3353 3339
item470          4752 886
item471          6480 8827
item472          4926 13029
item473          6055 6803
item474          4032 6977
item475          3874 7387
item476          2976 13291
item477          3037 2298
item478          6182 12615
item479          2372 8492
item480          3953 7084
item481          3728 5369
item482          6053 8151
item483          6990 11788
item484          888 12695
item485          6640 1865
item486          5556 2890
item487          5901 9450
item488          6517 12045
item489          1937 14859
item490          5762 76
item491          2528 6492
item492          3073 7713
item493          4515 14734
item494          5452 14232
item495          2674 4594
item496          491 1437
item497          4835 441
item498          5897 855
item499          6221 14259
item500          4347 12537
item501          2615 10602
item502          5506 2485
item503          1338 9528
item504          2546 12320
item505          6940 7071
item506          338 8624
item507          7489 1260
item508          3447 1459
item509          2902 10490
item510          3610 4761
item511          307 7047
item512          3928 5460
item513          1115 9631
item514          2119 14494
item515          5102 13104
item516          347 10495
item517          1030 4299
item518          965 9331
item519          866 3462
item520          6795 8182
item521          6135 10938
item522          3173 1232
item523          3746 8546
item524          2292 11354
item525          1537 14498
item526          7097 13477
item527          1374 4684
item528          947 9270
item529          7436 3060
item530          738 12828
item531          3045 12782
item532          7066 1736
item533          7475 5666
item534          6369 14435
item535          5807 9903
item536          2429 2565
item537          4379 1643
item538          5527 4923
item539          3153 10325
item540          3943 2494
item541          6800 616
item542          4673 7306
item543          1824 2320
item544          1354 1581
item545          5011 8996
item546          3992 14984
item547          3548 2865
item548          558 12312
item549          2693 7784
item550          2433 290
item551          1349 12217
item552          552 6592
item553          4400 386
item554          2612 4756
item555          4102 10955
item556          6297 5587
item557          176 11139
item558          5564 6887
item559          3781 4468
item560          7043 12566
item561          2574 13574
item562          6272 6403
item563          5032 7834
item564          509 3001
item565          1052 8009
item566          2815 3241
item567          2453 13105
item568          3218 8842
item569          246 12718
item570          1245 6441
item571          4859 7214
item572          1028 351
item573          4617 5459
item574          3493 1085
item575          4460 1296
item576          4908 10833
item577          1165 9538
item578          2412 14962
item579          3013 10879
item580          3781 11655
item581          6155 10792
item582          1881 8714
item583          7006 3645
item584          2687 7246
item585          1749 10406
item586          2442 9099
item587          909 9450
item588          6700 5934
item589          5537 6154
item590          1817 9267
item591          2644 688
item592          6486 4247
item593          1764 12483
item594          3118 10252
item595          1169 9223
item596          818 1247
item597          3266 13874
item598          5836 11376
item599          4333 14681
item600          4973 12914
item601          1847 8282
item602          3474 9677
item603          887 5079
item604          7208 5109
item605          5967 7878
item606          1943 2010
item607          141 728
item608          6670 9456
item609          6266 3773
item610          2656 2659
item611          6121 1618
item612          7344 3767
item613          1182 4748
item614          2383 5028
item615          3422 11276
item616          22 9765
item617          2277 10524
item618          2343 5670
item619          1395 12319
item620          3095 12832
item621          6303 13222
item622          5395 14169
item623          5861 6465
item624          3896 12040
item625          6504 13245
item626          3759 12836
item627          5930 2787
item628          4028 2477
item629          1000 912
item630          1324 5092
item631          4023 3091
item632          3363 9317
item633          4837 8322
item634          1948 3146
item635          5627 11217
item636          657 9403
item637          897 11356
item638          6838 11788
item639          4820 11214
item640          4677 3122
item641          3994 8192
item642          2240 9125
item643          5036 13742
item644          3870 5013
item645          4254 2264
item646          6175 9936
item647          2424 1068
item648          1974 7162
item649          822 8744
item650          6447 13972
item651          5710 5849
item652          4008 13938
item653          1617 4590
item654          5480 1842
item655          4811 3498
item656          1989 12477
item657          384 5230
item658          3915 12272
item659          351 12161
item660          79 360
item661          605 14059
item662          1733 9391
item663          5108 11868
item664          4189 14558
item665          6157 9574
item666          7339 7453
item667          3924 10633
item668          4873 14727
item669          671 4492
item670          2506 4461
item671          3055 2573
item672          2925 13586
item673          991 10749
item674          6105 3939
item675          3759 9113
item676          4129 7989
item677          2295 11600
item678          125 219
item679          2206 4910
item680          6193 9512
item681          2144 13057
item682          6797 12515
item683          2558 10532
item684          5337 2619
item685          3104 4148
item686          4505 5705
item687          2832 1020
item688          361 5185
item689          6515 198
item690          1493 10210
item691          794 1784
item692          1903 1327
item693          571 5891
item694          5328 14710
item695          3642 851
item696          2718 13861
item697          6906 620
item698          720 11144
item699          2819 4480
item700          3396 9454
item701          3432 12211
item702          2913 3286
item703          229 13148
item704          6320 6101
item705          5463 13164
item706          4186 8542
item707          670 11611
item708          7400 5681
item709          6576 143
item710          6175 11714
item711          5220 14917
item712          4163 2512
item713          23 6487
item714          1503 8711
item715          2208 6281
item716          3809 1841
item717          1841 12224
item718          1778 12358
item719          3452 13227
item720          6794 10713
item721          7187 2314
item722          2949 10531
item723          2613 7069
item724          4552 10914
item725          4043 9550
item726          2880 8019
item727          4724 12630
item728          3054 6951
item729          5221 5930
item730          5575 7844
item731          944 4272
item732          1977 10843
item733          4856 4606
item734          6694 8395
item735          7054 9950
item736          770 9937
item737          5624 5874
item738          1732 1767
item739          893 9558
item740          4214 3629
item741          6535 4560
item742          4381 6294
item743          764 13060
item744          4342 2689
item745          3918 12885
item746          5594 7783
item747          2048 8396
item748          409 2485
item749          2753 7552
item750          2060 1000
item751          3859 3008
item752          5911 6471
item753          3686 1215
item754          7287 8455
item755          1278 10360
item756          6666 11335
item757          3944 10222
item758          1916 9733
item759          6393 2200
item760          5046 4148
item761          4205 13488
item762          2416 2334
item763          5250 5565
item764          5827 2823
item765          6531 9260
item766          6932 5274
item767          1783 10023
item768          662 12862
item769          3279 5158
item770          6810 12001
item771          6199 12947
item772          4265 5669
item773          1102 9459
item774          3311 9606
item775          2889 8448
item776          2807 5308
item777          676 12689
item778          6805 14664
item779          4682 7076
item780          6360 9239
item781          4152 881
item782          6711 3665
item783          3253 10068
item784          5596 10198
item785          6091 4960
item786          4888 14478
item787          1146 2692
item788          7165 12167
item789          557 8301
item790          975 2755
item791          6163 9106
item792          3659 9625
item793          2322 6779
item794          3285 5635
item795          2843 7395
item796          6776 3654
item797          1464 8037
item798          6001 5823
item799          4729 1704
item800          6323 4135
item801          2359 6917
item802          5585 12477
item803          28 1988
item804          1690 8161
item805          5044 11437
item806          5637 12815
item807          3013 4436
item808          1392 2991
item809          6128 2127
item810          3878 11323
item811          918 10031
item812          4003 4143
item813          2159 5828
item814          4719 14416
item815          1155 9845
item816          5567 3850
item817          5538 13339
item818          3966 1422
item819          4094 10439
item820          6713 4519
item821          1616 2449
item822          1305 13272
item823          47 9095
item824          5900 14561
item825          1296 13522
item826          1324 4500
item827          288 2082
item828          5486 9881
item829          2463 8753
item830          5435 7074
item831          5517 4865
item832          6634 4683
item833          7402 390
item834          4974 2793
item835          4858 3683
item836          2847 32
item837          340 7071
item838          5983 13761
item839          196 12494
item840          5835 7922
item841          4224 7793
item842          7314 9831
item843          5403 11285
item844          363 898
item845          5140 5016
item846          6411 14815
item847          3378 2805
item848          6276 10062
item849          3957 14233
item850          1997 5891
item851          5685 917
item852          1868 11010
item853          4885 14352
item854          1070 14561
item855          6525 4274
item856          2634 9699
item857          1511 7022
item858          2724 4434
item859          2919 8553
item860          1102 14230
item861          5283 14437
item862          823 8842
item863          2553 10119
item864          1440 8044
item865          4559 14457
item866          236 4843
item867          2167 9666
item868          6720 8576
item869          4959 7625
item870          6520 11635
item871          6435 8668
item872          1358 12993
item873          3737 3866
item874          199 4865
item875          7130 12618
item876          2946 1819
item877          5751 6577
item878          6921 11521
item879          5265 14944
item880          5144 8037
item881          3926 8510
item882          7112 10981
item883          1390 3372
item884          6605 10641
item885          741 8838
item886          4657 10729
item887          3039 9035
item888          2995 11016
item889          2391 1016
item890          6413 1714
item891          6660 8730
item892          1063 1568
item893          6806 3885
item894          1596 14909
item895          5292 659
item896          6599 2130
item897          5201 14297
item898          2708 10050
item899          4832 3026
item900          5198 688
item901          1708 3636
item902          4872 7495
item903          1867 10803
item904          3391 9660
item905          2392 968
item906          6521 12490
item907          9 5835
item908          812 6029
item909          326 3699
item910          7443 6530
item911          2712 11857
item912          2758 10717
item913          3348 11146
item914          7036 14792
item915          5227 7996
item916          6430 8543
item917          4803 9752
item918          1813 4861
item919          4942 13644
item920          3821 5698
item921          5373 2606
item922          954 14358
item923          2315 10149
item924          655 14319
item925          5813 10685
item926          884 13680
item927          3727 795
item928          1538 2693
item929          4398 14280
item930          4957 11884
item931          7062 2718
item932          893 14304
item933          4629 4846
item934          2088 13234
item935          2497 14827
item936          3126 2083
item937          1011 14970
item938          1840 6532
item939          5926 6681
item940          5472 7060
item941          3375 7715
item942          3693 11359
item943          396 10818
item944          4172 4083
item945          2804 11366
item946          5454 11544
item947          995 5748
item948          4883 8784
item949          2968 2130
item950          6918 1598
item951          2120 14040
item952          3951 3463
item953          1677 12357
item954          1687 12082
item955          2347 5344
item956          302 6846
item957          6141 1716
item958          5441 12304
item959          3084 9339
item960          1659 10743
item961          6939 9393
item962          940 14206
item963          6896 3336
item964          4981 2578
item965          2763 1847
item966          3207 13684
item967          5511 9443
item968          3166 3806
item969          131 10211
item970          1763 13012
item971          5284 10050
item972          6818 11278
item973          4537 12011
item974          4615 10704
item975          5257 14619
item976          5199 12261
item977          300 4464
item978          3505 8505
item979          5887 11708
item980          233 9827
item981          6508 6016
item982          3223 4161
item983          5304 12422
item984          6200 1882
item985          5354 10157
item986          238 2501
item987          2717 13295
item988          2756 1981
item989          2479 3698
item990          5429 3447
item991          945 11146
item992          5923 9430
item993          3348 10187
item994          1160 4500
item995          6035 7053
item996          2502 6968
item997          6542 8960
item998          139 823
item999          6904 14469
item1000          705 318
item1001          6724 8476
item1002          5055 11761
item1003          2566 11429
item1004          1618 4369
item1005          3038 7576
item1006          943 7322
item1007          2245 6181
item1008          3595 13417
item1009          6038 2117
item1010          3615 11868
item1011          4284 8322
item1012          6890 10278
item1013          2215 3875
item1014          7060 807
item1015          5263 11876
item1016          4152 10643
item1017          6100 14198
item1018          6515 4970
item1019          7226 5874
item1020          269 6103
item1021          3486 12809
item1022          1806 13299
item1023          4304 10719
item1024          1891 10328
item1025          5947 12614
item1026          2868 8330
item1027          7352 11335
item1028          2716 4766
item1029          4061 2467
item1030          4666 13812
item1031          1878 12129
item1032          3115 11899
item1033          3316 4746
item1034          2061 1552
item1035          6927 11870
item1036          1909 2705
item1037          4679 6208
item1038          1288 7692
item1039          2830 14859
item1040          2898 7395
item1041          7203 6747
item1042          3495 7099
item1043          1271 11222
item1044          2127 10928
item1045          7374 1934
item1046          2086 13864
item1047          4145 3078
item1048          4137 4821
item1049          4645 257
item1050          812 2905
item1051          4266 6339
item1052          1801 3627
item1053          2555 6004
item1054          6119 11289
item1055          6755 5757
item1056          3120 10095
item1057          4867 5919
item1058          2682 12807
item1059          2270 13822
item1060          1866 4249
item1061          5027 3719
item1062          6488 14388
item1063          7422 5149
item1064          6124 3185
item1065          2085 7761
item1066          5414 6005
item1067          5175 8734
item1068          963 13244
item1069          3772 7715
item1070          5818 11252
item1071          5778 6760
item1072          1138 2249
item1073          2737 2057
item1074          4979 1865
item1075          1457 13177
item1076          64 743
item1077          4984 5950
item1078          3473 530
item1079          7002 1393
item1080          7023 9839
item1081          5706 14492
item1082          3368 8743
item1083          1105 13258
item1084          187 11835
item1085          3532 1332
item1086          490 9678
item1087          5585 8293
item1088          1786 1990
item1089          6546 10885
item1090          6776 1288
item1091          755 12100
item1092          1095 1548
item1093          1994 10786
item1094          6095 5249
item1095          185 5104
item1096          4391 3074
item1097          1625 7360
item1098          3379 12145
item1099          2439 3187
item1100          1787 1481
item1101          88 5587
item1102          7234 13997
item1103          3008 8523
item1104          2093 300
item1105          5588 1695
item1106          5485 206
item1107          5142 147
item1108          3242 6842
item1109          1275 6438
item1110          2191 2142
item1111          868 2042
item1112          215 14503
item1113          854 10727
item1114          3784 12907
item1115          3291 11541
item1116          1889 12424
item1117          3884 10375
item1118          4818 7623
item1119          6359 298
item1120          3638 4998
item1121          7288 11613
item1122          1045 12950
item1123          6193 171
item1124          4163 9636
item1125          1693 7686
item1126          2841 14796
item1127          6669 5286
item1128          7207 13168
item1129          3481 10285
item1130          5629 1532
item1131          5080 10709
item1132          471 11582
item1133          5881 2138
item1134          4485 6133
item1135          5568 13336
item1136          6604 5841
item1137          60 14138
item1138          4462 12114
item1139          1902 10882
item1140          1748 6193
item1141          760 5605
item1142          4207 8809
item1143          6152 7388
item1144          4401 13913
item1145          3924 11188
item1146          5700 5295
item1147          3852 2468
item1148          1684 12931
item1149          5490 157
item1150          4223 13244
item1151          5110 12285
item1152          2994 2885
item1153          1783 8053
item1154          1281 13201
item1155          308 6635
item1156          5338 10428
item1157          6488 14905
item1158          2872 763
item1159          957 5638
item1160          1581 3338
item1161          6374 8627
item1162          6524 406
item1163          6376 9714
item1164          7221 2282
item1165          5284 1707
item1166          1363 2728
item1167          1858 6312
item1168          6281 3200
item1169          1464 8362
item1170          4686 8352
item1171          4382 3687
item1172          7248 8536
item1173          3886 5941
item1174          7209 8030
item1175          5659 7332
item1176          552 9551
item1177          3908 8550
item1178          1285 3595
item1179          5162 9958
item1180          2328 13040
item1181          253 11282
item1182          6368 1989
item1183          403 14158
item1184          306 13551
item1185          1588 1202
item1186          815 10729
item1187          5689 9574
item1188          2195 10826
item1189          3095 227
item1190          4606 6952
item1191          2493 10857
item1192          382 4505
item1193          314 12699
item1194          3392 1060
item1195          4547 1402
item1196          7284 7248
item1197          1320 8275
item1198          4982 7015
item1199          3608 8440
item1200          4738 4674
item1201          3522 1251
item1202          3839 9794
item1203          6925 1247
item1204          7046 1020
item1205          2150 11502
item1206          4849 4083
item1207          3661 5481
item1208          4269 2422
item1209          392 1917
item1210          3252 8196
item1211          768 14016
item1212          6729 3070
item1213          902 14142
item1214          3851 8512
item1215          457 9516
item1216          4610 5092
item1217          6231 10868
item1218          5722 3608
item1219          5610 7675
item1220          5923 12761
item1221          1488 9010
item1222          4227 5334
item1223          3777 1912
item1224          518 3973
item1225          769 12890
item1226          2360 7627
item1227          731 2678
item1228          4349 11215
item1229          5316 6196
item1230          7093 11755
item1231          1715 12667
item1232          6448 12475
item1233          3067 3499
item1234          3279 14774
item1235          1726 14867
item1236          5691 11354
item1237          5560 8087
item1238          937 9594
item1239          7235 664
item1240          5140 9265
item1241          6400 4977
item1242          6947 12964
item1243          4622 3119
item1244          2765 11866
item1245          6643 5470
item1246          6488 12987
item1247          310 10320
item1248          1089 4966
item1249          4195 11103
item1250          2413 11119
item1251          6527 5350
item1252          4223 4473
item1253          6182 8433
item1254          6150 12963
item1255          3189 13912
item1256          1001 7514
item1257          5306 2301
item1258          6605 8629
item1259          4664 7595
item1260          4048 6471
item1261          6439 2099
item1262          2465 2768
item1263          4593 6683
item1264          5440 13256
item1265          7315 14500
item1266          2055 10900
item1267          2614 479
item1268          4073 4511
item1269          2853 6997
item1270          6263 3808
item1271          454 13800
item1272          6136 5938
item1273          3829 11338
item1274          2350 9511
item1275          2944 2009
item1276          2834 1409
item1277          3936 11592
item1278          3732 13633
item1279          6379 13738
item1280          3526 13534
item1281          6407 10911
item1282          5405 7800
item1283          2972 2268
item1284          4004 13965
item1285          2616 14831
item1286          3524 9782
item1287          5141 14693
item1288          3635 8574
item1289          5229 7012
item1290          2189 3001
item1291          5152 7330
item1292          7403 2867
item1293          1093 4505
item1294          171 11883
item1295          4100 3344
item1296          4022 14349
item1297          1212 13947
item1298          5808 13575
item1299          3598 1695
item1300          5876 12464
item1301          6545 1383
item1302          2686 269
item1303          5672 5074
item1304          3055 8377
item1305          6317 157
item1306          3634 12262
item1307          6025 1552
item1308          6155 5411
item1309          7120 9763
item1310          6994 7378
item1311          6096 11571
item1312          6892 14818
item1313          7341 11265
item1314          4904 6433
item1315          5042 3709
item1316          4319 13228
item1317          5975 876
item1318          6140 2126
item1319          2895 619
item1320          3624 593
item1321          4765 10309
item1322          6272 4169
item1323          5661 14566
item1324          1754 10422
item1325          4902 6857
item1326          7066 12945
item1327          3800 13692
item1328          1652 10816
item1329          7128 6490
item1330          3095 7993
item1331          2681 12878
item1332          6816 5654
item1333          440 11125
item1334          2488 7624
item1335          5197 6499
item1336          6326 14873
item1337          7202 1706
item1338          1205 1606
item1339          13 6300
item1340          897 10042
item1341          1738 12999
item1342          7008 12619
item1343          2568 3685
item1344          7261 10735
item1345          3480 9698
item1346          2013 14102
item1347          3273 7574
item1348          6627 13747
item1349          2549 9038
item1350          3546 7109
item1351          3752 7220
item1352          5233 9155
item1353          2728 10009
item1354          5511 4545
item1355          7354 5528
item1356          6670 5046
item1357          2171 5538
item1358          3966 5473
item1359          7461 13038
item1360          3573 9636
item1361          2146 3097
item1362          6925 5183
item1363          5422 4731
item1364          1070 10670
item1365          4839 772
item1366          10 1133
item1367          185 2503
item1368          5429 1798
item1369          4866 6416
item1370          3760 8261
item1371          3725 4172
item1372          1445 3232
item1373          5108 14819
item1374          1177 536
item1375          4164 2673
item1376          1889 2982
item1377          4370 1619
item1378          1341 7241
item1379          3598 441
item1380          133 5495
item1381          6030 6762
item1382          2889 2729
item1383          4351 14772
item1384          2407 9545
item1385          6538 5621
item1386          6770 10723
item1387          4644 14597
item1388          2495 13607
item1389          364 4074
item1390          4200 14538
item1391          7333 14206
item1392          2160 14694
item1393          2901 4599
item1394          6148 7421
item1395          6196 2531
item1396          2945 12419
item1397          1575 6000
item1398          5967 4166
item1399          4662 3620
item1400          5776 3812
item1401          5684 10680
item1402          267 10305
item1403          2992 4189
item1404          3045 4690
item1405          7167 7503
item1406          5919 4910
item1407          6601 5228
item1408          4217 7502
item1409          6114 13779
item1410          6273 6566
item1411          7246 3449
item1412          7102 851
item1413          1358 12402
item1414          1926 12479
item1415          882 10521
item1416          4366 6839
item1417          6574 446
item1418          5433 7266
item1419          819 12001
item1420          3666 7188
item1421          4550 12223
item1422          7258 3255
item1423          5025 6146
item1424          3145 10318
item1425          2772 2811
item1426          6815 9039
item1427          6885 11077
item1428          5880 3400
item1429          1563 5442
item1430          6610 11780
item1431          2024 950
item1432          600 1660
item1433          6861 3835
item1434          7084 10955
item1435          4882 12745
item1436          6508 1798
item1437          3637 4762
item1438          4073 5494
item1439          5112 3399
item1440          6326 7491
item1441          4970 3537
item1442          1538 8246
item1443          733 9898
item1444          3205 13823
item1445          3619 1984
item1446          2078 2045
item1447          6786 9492
item1448          1310 10516
item1449          5161 2614
item1450          6198 13080
item1451          5983 957
item1452          4796 2268
item1453          4374 7290
item1454          4877 6543
item1455          7418 7830
item1456          1905 97
item1457          1733 6553
item1458          1100 2070
item1459          469 11342
item1460          1568 6982
item1461          7456 3265
item1462          2942 6043
item1463          4004 14614
item1464          2834 8963
item1465          6907 3727
item1466          4952 13531
item1467          7098 6167
item1468          414 13979
item1469          1710 2529
item1470          2157 10776
item1471          4085 5307
item1472          1523 2213
item1473          5793 9377
item1474          5929 5423
item1475          757 10950
item1476          299 13273
item1477          6791 2197
item1478          3805 11857
item1479          3102 1477
item1480          5035 2963
item1481          5793 1952
item1482          6358 14496
item1483          2732 3293
item1484          6508 3747
item1485          3536 5681
item1486          2108 8845
item1487          5036 3919
item1488          7144 6117
item1489          1052 7590
item1490          3815 4529
item1491          2334 1065
item1492          6528 5569
item1493          6180 14401
item1494          54 7600
item1495          4687 7988
item1496          2025 249
item1497          3447 1229
item1498          6070 836
item1499          4713 5807
item1500          5823 7420
item1501          5787 14102
item1502          2815 13403
item1503          6606 10232
item1504          6806 2473
item1505          5617 9938
item1506          4917 8264
item1507          4106 3460
item1508          4290 11484
item1509          5122 13276
item1510          2181 11313
item1511          3606 12086
item1512          2024 3383
item1513          4751 13077
item1514          6611 54
item1515          4109 3659
item1516          3970 7304
item1517          4211 13990
item1518          3492 4014
item1519          339 12545
item1520          7244 14845
item1521          5634 7768
item1522          1218 10408
item1523          3838 12567
item1524          3643 465
item1525          4038 7374
